ID,Acessibilidade_fisica,Infraestruturas_dificuldade_locomocao,Infraestrutura_auditivas_visuais,Outras_infra_auditivas_visuais,Título,Esfera,Status de Funcionamento,Tipo,Temática,Estado,Município,Site Oficial,Link no MuseusBR
80870,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,Museu Casa Branca,PÚBLICA – Municipal,Aberto,- NÃO INFORMADO -,- NÃO INFORMADO -,AC,Xapuri,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80870
80871,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,Museu Paroquial Padre Osmar Possamai,PRIVADA – Organização Religiosa,Aberto,Clássico/Tradicional,História,RS,São Marcos,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80871
80872,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,Museu Antropológico de Osório,PÚBLICA – Municipal,Aberto,- NÃO INFORMADO -,- NÃO INFORMADO -,RS,Osório,http://www.osorio.rs.gov.br,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80872
80873,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,Memorial Augusto dos Anjos,PÚBLICA – Municipal,Aberto,- NÃO INFORMADO -,- NÃO INFORMADO -,PB,Sapé,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80873
80874,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,Sala de Memória,PÚBLICA – Municipal,Aberto,- NÃO INFORMADO -,- NÃO INFORMADO -,PR,Rebouças,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80874
80875,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,Museu da Cidade,PÚBLICA – Municipal,Aberto,- NÃO INFORMADO -,- NÃO INFORMADO -,PE,Serra Talhada,http://www.fundacaocasadacultura.com.br,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80875
80877,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,Museu e Acervo Histórico-cultural de São Pedro da Serra,PÚBLICA – Municipal,Fechado,Clássico/Tradicional,História,RS,São Pedro da Serra,http://www.spserra.com.br,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80877
80881,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,Museu da Luz - Eletroacre,PRIVADA – Empresa,Fechado,Clássico/Tradicional,História,AC,Rio Branco (Acre),http://www.eletroacre.com.br/a-empresa/museu-da-luz,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80881
80882,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,Museu Municipal João Modtkowski,PÚBLICA – Municipal,Aberto,- NÃO INFORMADO -,- NÃO INFORMADO -,RS,Áurea,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80882
80883,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,Parque Florestal Rio da Onça,PÚBLICA – Estadual/Distrital,Aberto,- NÃO INFORMADO -,- NÃO INFORMADO -,PR,Matinhos,http://www.iap.pr.gov.br,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80883
80885,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,Museu da Junta Comercial do Paraná,PÚBLICA – Estadual/Distrital,Aberto,Clássico/Tradicional,Produção de bens e serviços,PR,Curitiba,http://www.jucepar.pr.gov.br,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80885
80886,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,Museu Municipal Ervino Breitenbach,PÚBLICA – Municipal,Aberto,Clássico/Tradicional,Antropologia e arqueologia,RS,Pinheirinho do Vale,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80886
80888,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,Museu Histórico e de Artes Darras Noya,PÚBLICA – Municipal,Aberto,- NÃO INFORMADO -,- NÃO INFORMADO -,AL,Santana do Ipanema,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80888
80896,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,Memorial da Mulher - Ceci Cunha,PÚBLICA – Municipal,Aberto,- NÃO INFORMADO -,- NÃO INFORMADO -,AL,Arapiraca,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80896
80900,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,Casa da Cultura e Memorial do Estreito Augusto César,PÚBLICA – Municipal,Aberto,Clássico/Tradicional,História,RS,Marcelino Ramos,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80900
80901,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,Museu do Esporte José Aurino de Barros Filho,PÚBLICA – Municipal,Aberto,- NÃO INFORMADO -,- NÃO INFORMADO -,PB,Campina Grande,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80901
80903,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,Casa de Cultura Oscar do Amaral Pinto - Casa da Câmara e Cadeia,PÚBLICA – Municipal,Aberto,Clássico/Tradicional,História,RJ,São João da Barra,http://www.casadeculturajoaooscar.blogspot.com,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80903
80904,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,Museu do Una,PRIVADA – Não informada,Aberto,- NÃO INFORMADO -,- NÃO INFORMADO -,PE,São José da Coroa Grande,http://www.museudouna.com.br,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80904
80905,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,Museu Ferroviário de Campos,- NÃO INFORMADA -,Fechado,- NÃO INFORMADO -,- NÃO INFORMADO -,RJ,Campos dos Goytacazes,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80905
80906,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,Instituto de Pesquisas Afro Cultural Odé Gbomi,PRIVADA – Não informada,Aberto,Clássico/Tradicional,História,RJ,Nova Iguaçu,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80906
80908,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,Museu Municipal Edson Bloemer,PÚBLICA – Municipal,Aberto,- NÃO INFORMADO -,- NÃO INFORMADO -,PR,Serranópolis do Iguaçu,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80908
80909,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,Casa da Memória Paraná,PÚBLICA – Municipal,Aberto,- NÃO INFORMADO -,- NÃO INFORMADO -,PR,Ponta Grossa,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80909
80910,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,Museu de Jardim do Seridó,- NÃO INFORMADA -,Aberto,Clássico/Tradicional,História,RN,Jardim do Seridó,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80910
80912,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,Fundação Pró-memória de Canarana,PRIVADA – Não informada,Aberto,- NÃO INFORMADO -,- NÃO INFORMADO -,MT,Canarana (Mato Grosso),,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80912
80915,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,Instituto Moreira Salles - Rio de Janeiro,PRIVADA – Não informada,Aberto,- NÃO INFORMADO -,- NÃO INFORMADO -,RJ,Rio de Janeiro,http://www.ims.com.br/,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80915
80918,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,Memorial do Hotel Globo,PÚBLICA – Municipal,Aberto,Clássico/Tradicional,História,PB,João Pessoa,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80918
80920,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,Museu da Ordem Terceira do Carmo,PRIVADA – Organização Religiosa,Aberto,Clássico/Tradicional,"Artes, arquitetura e linguística",BA,Salvador,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80920
80921,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,Museu das Cavalhadas,PRIVADA – Não informada,Aberto,Clássico/Tradicional,História,GO,Pirenópolis,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80921
80923,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,Núcleo de Pesquisa e Documentação Histórica de Bauru e Região,PRIVADA – Não informada,Aberto,- NÃO INFORMADO -,- NÃO INFORMADO -,SP,Bauru,http://www.usc.br,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80923
80929,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,Museu do Telefone (Campo Grande),PRIVADA – Não informada,Aberto,Clássico/Tradicional,História,MS,Campo Grande (Mato Grosso do Sul),,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80929
80931,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,"Museu de Ciências, Tecnologia e Variedades Emília Lence Carluci",PRIVADA – Não informada,Aberto,Clássico/Tradicional,História,SP,São Sebastião (São Paulo),,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80931
80932,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,Museu da Catedral de Nossa Senhora da Glória,PRIVADA – Organização Religiosa,Aberto,Clássico/Tradicional,"Artes, arquitetura e linguística",RJ,Valença (Rio de Janeiro),http://www.catedraldevalenca.org.br/museu_catedral.shtml,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80932
80934,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,Coleção de Artes Visuais/instituto de Estudos Brasileiros da Universidade de São Paulo,PÚBLICA – Estadual/Distrital,Aberto,- NÃO INFORMADO -,- NÃO INFORMADO -,SP,São Paulo,http://www.ieb.usp.br,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80934
80937,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,Museu Nacional do Espiritismo,PRIVADA – Não informada,Aberto,- NÃO INFORMADO -,- NÃO INFORMADO -,PR,Curitiba,http://www.sbee.com.br,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80937
80938,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,Museu de Arte e Folclore de Santo Antônio da Alegria,PÚBLICA – Municipal,Aberto,- NÃO INFORMADO -,- NÃO INFORMADO -,SP,Santo Antônio da Alegria,http://www.santoantoniodaalegria.sp.gov.br,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80938
80940,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,Forte São Marcelo,PRIVADA – Não informada,Fechado,- NÃO INFORMADO -,- NÃO INFORMADO -,BA,Salvador,http://www.fortesaomarcelo.org.br,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80940
80942,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,Galeria de Artes Álvaro Santos,PÚBLICA – Municipal,Aberto,- NÃO INFORMADO -,- NÃO INFORMADO -,SE,Aracaju,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80942
80944,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,Museu de Apicultura e Mel do Apiário Embu Cidade das Abelhas,PRIVADA – Não informada,Aberto,- NÃO INFORMADO -,- NÃO INFORMADO -,SP,Cotia,http://www.cidadedasabelhas.com.br,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80944
80947,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,Parque Estadual Fritz Plaumann,PÚBLICA – Estadual/Distrital,Aberto,- NÃO INFORMADO -,- NÃO INFORMADO -,SC,Concórdia,http://www.parquefritzplaumann.org.br,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80947
80956,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,Museu Professor Benício Vasconcelos de Tavares,PRIVADA – Não informada,Aberto,- NÃO INFORMADO -,- NÃO INFORMADO -,CE,Fortaleza,http://www.aco.org.br,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80956
80962,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,Museu Ferroviário de Petrópolis - Centro Cultural Estação Nogueira,PÚBLICA – Municipal,Aberto,Clássico/Tradicional,Meios de comunicação e transporte,RJ,Petrópolis,http://culturaccen.blogspot.com.br,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80962
80963,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,Museu Ergológico de Estância,PRIVADA – Não informada,Aberto,Clássico/Tradicional,Antropologia e arqueologia,RS,São Borja,http://www.angueras.com.br/museu.htm,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80963
80964,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,Memorial Tito Silva - Oficina Escola,PÚBLICA – Municipal,Aberto,- NÃO INFORMADO -,- NÃO INFORMADO -,PB,João Pessoa,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80964
80965,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,Museu Internacional,PÚBLICA – Municipal,Aberto,- NÃO INFORMADO -,- NÃO INFORMADO -,PR,Barracão (Paraná),,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80965
80966,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,Museu Carmelitano de História Natural,PRIVADA – Não informada,Aberto,- NÃO INFORMADO -,- NÃO INFORMADO -,PE,Camocim de São Félix,http://www.convento.org.br,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80966
80967,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,Museu Dom Vital,PRIVADA – Organização Religiosa,Fechado,Clássico/Tradicional,História,PE,Recife,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80967
80968,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,Museu Municipal de Bernardino de Campos,PÚBLICA – Municipal,Fechado,Clássico/Tradicional,História,SP,Bernardino de Campos,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80968
80971,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,Antiga Fazenda São José (da Atafona),PARTICULAR,Aberto,- NÃO INFORMADO -,- NÃO INFORMADO -,RS,Cachoeira do Sul,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80971
80976,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,Museu Histórico Celso Formighieri Sperança,PÚBLICA – Municipal,Aberto,Clássico/Tradicional,História,PR,Cascavel (Paraná),http://www.cascavel.pr.gov.br/servicos/museuhistorico,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80976
80977,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,Museu Ubaldo Monteiro da Silva,PÚBLICA – Municipal,Fechado,- NÃO INFORMADO -,- NÃO INFORMADO -,MT,Várzea Grande (Mato Grosso),,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80977
