ID,Acessibilidade_fisica,Infraestruturas_dificuldade_locomocao,Infraestrutura_auditivas_visuais,Outras_infra_auditivas_visuais,Título,Esfera,Status de Funcionamento,Tipo,Temática,Estado,Município,Site Oficial,Link no MuseusBR
82083,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,Memorial Coluna Prestes - Santo Ângelo,PÚBLICA – Municipal,Aberto,Clássico/Tradicional,História,RS,Santo Ângelo,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=82083
82087,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,Museu da Arte de Rio do Sul - MARS,PÚBLICA – Municipal,Aberto,Clássico/Tradicional,"Artes, arquitetura e linguística",SC,Rio do Sul,http://www.fundacaocultural.art.br,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=82087
82088,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,Museu de Anatomia Humana Professor Alfonso Bovero - Universidade de São Paulo,PÚBLICA – Estadual/Distrital,Aberto,Clássico/Tradicional,"Ciências exatas, da terra, biológicas e da saúde",SP,São Paulo,http://museu.icb.usp.br/,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=82088
82093,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,Museu Rural Mamédio Francisco Militão,PRIVADA – Não informada,Aberto,Museu de Território/Ecomuseu,História,MG,Inhapim,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=82093
82101,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,Museu Histórico de Sergipe,PÚBLICA – Estadual/Distrital,Aberto,Clássico/Tradicional,História,SE,São Cristóvão,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=82101
82103,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,Instituto Cultural Amilcar Martins,PRIVADA – Não informada,Fechado,Clássico/Tradicional,História,MG,Belo Horizonte,http://www.icam.org.br,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=82103
82117,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,Museu Municipal Histórico e Indígena de Rosário Oeste,PÚBLICA – Municipal,Aberto,Clássico/Tradicional,História,MT,Rosário Oeste,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=82117
82126,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,Museu de Geociências da Universidade de São Paulo,PÚBLICA – Estadual/Distrital,Aberto,Clássico/Tradicional,"Ciências exatas, da terra, biológicas e da saúde",SP,São Paulo,http://www.igc.usp.br/museu,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=82126
82128,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,Museu da República,PÚBLICA – Federal,Aberto,Clássico/Tradicional,História,RJ,Rio de Janeiro,http://museudarepublica.museus.gov.br,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=82128
82132,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,Museu Ferroviário de Sete Lagoas,PÚBLICA – Municipal,Aberto,Clássico/Tradicional,Meios de comunicação e transporte,MG,Sete Lagoas,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=82132
82134,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,Museu de Artes e Ciências,PRIVADA – Associação,Aberto,Clássico/Tradicional,História,TO,Aparecida do Rio Negro,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=82134
82136,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,Memorial do Teatro Castro Alves,PÚBLICA – Estadual/Distrital,Aberto,Clássico/Tradicional,História,BA,Salvador,http://www.tca.ba.gov.br,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=82136
82138,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,Memorial da Imigração e Cultura Japonesa do Rio Grande do Sul - Universidade Federal de Santa Maria,PÚBLICA – Federal,Aberto,Clássico/Tradicional,História,RS,Santa Maria (Rio Grande do Sul),http://www.ufsm.br/memorialjapao,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=82138
82140,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,Museu de Arte Sacra (Angra dos Reis),PÚBLICA – Municipal,Aberto,Clássico/Tradicional,Antropologia e arqueologia,RJ,Angra dos Reis,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=82140
82142,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,Museu Municipal Theobaldo Becker,PÚBLICA – Municipal,Aberto,Clássico/Tradicional,História,RS,Ibirubá,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=82142
82148,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,Museu e Galeria Joana Cordeiro,PARTICULAR,Aberto,Clássico/Tradicional,História,PB,Pedra Lavrada,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=82148
82149,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,Museu do Palácio Rio Branco,PÚBLICA – Estadual/Distrital,Aberto,Clássico/Tradicional,História,AC,Rio Branco (Acre),,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=82149
82150,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,Museu da Imagem e do Som de Goiás,PÚBLICA – Estadual/Distrital,Aberto,Clássico/Tradicional,História,GO,Goiânia,http://www.seduce.go.gov.br,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=82150
82151,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,Museu Olho Latino,PRIVADA – Empresa,Aberto,Clássico/Tradicional,"Artes, arquitetura e linguística",SP,Atibaia,http://www.olholatino.com.br,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=82151
