ID,Título,Status do Museu,Localização,Geolocalização manual
80367,Parque Estadual da Serra da Cantareira - Núcleo Pedra Grande,Aberto,"-23.456948,-46.63405",False
80368,Pinacoteca Potiguar,Aberto,"-5.7853957,-35.2066038",False
80369,Memorial Santiaguense,Aberto,"-20.9107157710374,-44.5082116127014",False
80370,Museu do Reggae,Aberto,"-2.5289069,-44.305511",False
80371,Espaço Pierre Verger da Fotografia Baiana,Aberto,"-13.0044584355055,-38.5339021682739",False
80372,Museu da Sociedade Brasileira de Cirurgia Plástica Ivo Pitanguy,Aberto,"-23.5940217,-46.689607",False
80373,Parque Estadual de Grão Mogol,Aberto,"-16.566694,-42.892709",False
80374,Museu Histórico Municipal de Iconha,Fechado,"-20.7942626808751,-40.810963511467",False
80375,Ecomuseu do Cipó,Aberto,"-19.3351180602569,-43.6531448364258",False
80376,Casa de Memória e Cultura,Aberto,"-27.357239,-52.147174",False
80377,Museu Histórico Professor Francisco Serafim Guilherme Schaden,Fechado,"-27.9009135,-48.9291009",False
80378,Museu de Embriologia e Anatomia Bernard Duhamel da Universidade do Planalto Central (UNICEPLAC),Aberto,"-16.0024895,-48.0511956",False
80379,Memorial de Exposição Permanente do Centro de Artesanato de Januária,Aberto,"-15.4922549,-44.3607207",False
80380,Memorial à República,Aberto,"-9.6697609,-35.7309651",False
80381,Memorial da Resistência - CE,Aberto,"-3.731505,-38.5032457",False
80382,Museu da Maré,Aberto,"-22.865203,-43.242344",False
80383,Museu Histórico Cultural Municipal de Sananduva Prefeito Itamar Antonio Camozzato,Aberto,"-28.0555425,-51.8635429",False
80384,Museu da Sociedade Rural do Paraná,Aberto,"-23.2979547,-51.1973304",False
80385,Museu Jaime Resende,Aberto,"-19.3089643,-46.047023",False
80386,Centro de Memória e História de Santa Lúcia do Piaí,Aberto,"-29.2423154014575,-51.0208940505981",False
80387,Museu Histórico de Campina Grande,Aberto,"-7.2182463,-35.8817697",False
80388,Museu Ludovicus - Instituto Câmara Cascudo,Aberto,"-5.7817494,-35.2061959",False
80389,Museu da Casa Colonial,Aberto,"-16.443941,-39.06462",False
80390,Museu de Kard,Aberto,"-14.8511123,-40.84847329999999",False
80391,Museu Vivo de Ciência e Tecnologia de Campina Grande Lynaldo Cavalcanti,Aberto,"-7.2227145,-35.8897482",False
80392,Museu Universitário Academia - Uniacademia - Museu de Etnologia Indígena e História Natural,Aberto,"-21.762107,-43.352492",False
80393,Museu Histórico Municipal Estela Maris Reinher,Aberto,"-27.780517,-54.23624",False
80394,Museu do Vaqueiro Memorial Doutor Ivan Claret,Aberto,"-17.8401516526757,-40.3507769107819",False
80395,Museu Histórico de Nova Ponte,Aberto,"-20.95,-45.15",False
80396,Museu Municipal Maria Carolina Alves Lellis,Aberto,"-20.322194,-48.310923",False
80397,Museu Guido Straube,Aberto,"-25.422817,-49.266737",False
80398,Museu Antropológico e Etnográfico Francisco Manoel Franco,Aberto,"-20.082276,-44.580538",False
80399,Museu Casa Memória dos Ex-combatentes da Segunda Guerra Mundial,Aberto,"-15.7496012,-47.8998327",False
80400,Ecomuseu Serra do Rio do Rastro,Aberto,"-28.2172897559571,-50.6414794921875",False
80401,Museu Histórico Municipal Américo Brigatti,Aberto,"-22.4251333,-54.2320038",False
80402,Museu de Medicina da AMBr,Aberto,"-15.8115582944574,-47.8535914421082",False
80403,Museu Municipal Araken Cruz,Aberto,"-21.704589,-46.821202",False
80404,Museu Histórico de Monteiro,Aberto,"-7.884036,-37.11876",False
80405,"Centro de Memória, Documentação e Cultura do Instituto Federal de Santa Catarina",Aberto,"-27.5967241,-48.5705596",False
80406,Museu Histórico e Cultural Pe. Carlos Leôncio da Silva,Aberto,"-22.7331628,-45.1261253",False
80407,Casa de Arte Baiana,Aberto,"-14.7975373,-39.0327218",False
80408,Museu Municipal do Cinema Vivaldino Prado,Aberto,"-28.300701360178575,-54.25791263580322",False
80409,Museu da Imagem e do Som de Alagoas - MISA,Aberto,"-9.6726757,-35.7221895",False
80410,Museu Famiglia Tasca,Aberto,"-29.1599661,-51.5968371",False
80411,Museu Histórico de Rio Branco do Sul,Aberto,"-25.1927476979212,-49.3131926748902",False
80412,Museu do Círio,Aberto,"-1.455028,-48.5041688",False
80413,Planetário da Universidade Federal de Santa Maria,Aberto,"-29.7200516,-53.7173005",False
80414,Museu da Cidade de João Pessoa,Aberto,"-7.126053,-34.882731",False
80415,Museu Manuelzão,Fechado,"-18.2775285,-44.9829468",False
80416,Memorial Taperense Lydia Mombelli da Fonseca,Aberto,"-28.6299538,-52.8680652",False
80417,Museu Histórico de Itajaí,Aberto,"-26.906228,-48.659541",False
80418,Casa Guilherme de Almeida,Aberto,"-23.5469286,-46.6739024",False
80419,Museu Municipal de Caxias do Sul,Aberto,"-29.1634,-51.179675",False
80420,Museu do Rio Tietê,Aberto,"-23.4948097,-46.5257165",False
80421,Espaço Carybé de Artes,Aberto,"-13.0019025003056,-38.5326415300369",False
80422,Museu Histórico e Cultural de Rio do Sul Victor Lucas,Aberto,"-27.215196256034,-49.6408397199684",False
80423,Museu do Pâmpano,Aberto,"-5.783416,-35.191506",False
80424,Espaço da Ciência e do Firmamento - Planetário da Universidade Federal do Maranhão,Aberto,"-2.55781644977957,-44.3100714683533",False
80425,"Museu do Rádio, da Televisão e Novas Mídias",Aberto,"-23.542216,-46.680536",False
80426,Museu Ciência e Vida,Aberto,"-22.7891854,-43.3074739",False
80427,Museu Villa-Lobos,Aberto,"-22.951854,-43.190438",False
80428,Escola da Ciência - Biologia/história,Aberto,"-20.3166213,-40.3581635",False
80429,Museu Itinerante Balaio da Capoeira,Fechado,"-19.9616348,-43.960916",False
80430,Fundação Jardim Zoológico de Brasília,Aberto,"-15.842704,-47.9163858",False
80431,Memorial Municipal de Muriaé,Aberto,"-21.1308312,-42.3666631",False
