ID,Logradouro,Número,Complemento,Bairro,CEP,Município,UF,Localização,Geolocalização manual
80348,Praça Daniel Barreto,s/n,,Praia dos Anjos,28930-000,Arraial do Cabo,RJ,"-22.969694407265,-42.0209455490112",False
80349,Rua São Pedro,185,,Garça Torta,57033-330,Maceió,AL,"-9.66067,-35.739955",False
80350,Rua Marquês de São Vicente,225,* Solar Grandjean de Montigny – Museu Universitário da Pontificia Universidade Católica  do Rio de Janeiro,Gávea,22451-900,Rio de Janeiro,RJ,"-22.978145,-43.233422",False
80351,Rua Manoel Cavassa,275,,Porto-Geral,79301-120,Corumbá,MS,"-18.997429,-57.65436",False
80352,Rua João Brasil,803,Esquina com Marechal Floriano Peixoto,Centro,97590-000,Rosário do Sul,RS,"-30.256993,-54.9184",False
80353,Rua Francisco de Oliveira Costa,10,,Centro,37548-000,Conceição dos Ouros,MG,"-22.408332,-45.800042",False
80354,Travessa Frutuoso Guimarães,602,,Campina,66017-170,Belém (Pará),PA,"-1.453948,-48.4972507",False
80355,Rua Benjamin Constant,s/n,,Centro,58410003,Campina Grande,PB,"-7.2284187,-35.8847538",False
80356,Rua Governador Ivo Silveira,375,Casa,Centro,89859-000,Formosa do Sul,SC,"-26.645895643921,-52.7917152643204",False
80357,Rua Marechal Floriano,s/n,,Centro,36400-000,Conselheiro Lafaiete,MG,"-20.656053,-43.801924",False
80358,Rua José Maria Lisboa,838,,Jardim Paulista,01423-001,São Paulo,SP,"-23.5672206,-46.6589516",False
80359,Rua Nova Mantiquira,227,,Mantiquira,26950-000,Paty do Alferes,RJ,"-22.41466,-43.426746",False
80360,Avenida Presidente Antonio Carlos,375,10º andar - Salas 1003-1011,Castelo,20020-010,Rio de Janeiro,RJ,"-22.908167,-43.172869",False
80361,Avenida Morumbi,5397,,Morumbi,05650-001,São Paulo,SP,"-23.612489,-46.713094",False
80362,Praça João Pessoa,s/n,Tribunal de Justiça de João Pessoa,Centro,58013-902,João Pessoa,PB,"-7.121604,-34.883743",False
80363,Avenida José Nayme,s/n,Estação Ferroviária de Bento Quirino,Bento Quirino,14200-000,São Simão (São Paulo),SP,"-21.4875744872713,-47.5539779663086",False
80364,"Rodovia BR 465, km 7",s/n,Campus Universitário,Jardim Botânico,23890-000,Seropédica,RJ,"-22.7690305,-43.6869836",False
80365,Estrada ES 010,s/n,Comunidade do Degredo. (CIC - Centro de Integração Comunitária - Zona Rural),Distrito Pontal do Ipiranga,29900-940,Linhares,ES,"-19.3262572,-39.8597824",False
80366,Rua Caetano Pires,267,,Centro,37510-000,São José do Alegre,MG,"-22.329355331491,-45.5245542526245",False
80367,Rua do Horto,1799,,Horto Florestal,02377-000,São Paulo,SP,"-23.456948,-46.63405",False
80368,Praça Sete de Setembro,s/n,,Cidade Alta,59025300,Natal,RN,"-5.7853957,-35.2066038",False
80369,Rua Carlos Pereira,33,,Centro,36350-000,São Tiago,MG,"-20.9107157710374,-44.5082116127014",False
80370,Rua da Estrela,124,Praia Grande,Centro Histórico,65010-200,São Luís,MA,"-2.5289069,-44.305511",False
80371,Rua Porto da Barra,48,Forte de Santa Maria,Barra,40130-180,Salvador,BA,"-13.0044584355055,-38.5339021682739",False
80372,Rua Funchal,129,2º andar,Vila Olímpia,04551-060,São Paulo,SP,"-23.5940217,-46.689607",False
80373,"Rodovia MG 307, km 41",s/n,,Zona Rural,39570-000,Grão Mogol,MG,"-16.566694,-42.892709",False
80374,Avenida Coronel Antônio Duarte,s/n,"ESPAÇO CULTURAL ""ZOÉ RODRIGUES MISSÁGIA""",Centro,29280-000,Iconha,ES,"-20.7942626808751,-40.810963511467",False
80375,Fazenda Cipó - Rodovia MG 010 km 94,s/n,,Distrito de São José de Almeida,35835-000,Jaboticatubas,MG,"-19.3351180602569,-43.6531448364258",False
80376,Rua Rio Branco,104,,Centro,99790-000,Mariano Moro,RS,"-27.357239,-52.147174",False
80377,Rua Padre Augusto Schwirling,31,,Centro,88485-000,São Bonifácio,SC,"-27.9009135,-48.9291009",False
80378,SIGA - Área Especial,2,Laboratório de Anatomia Humana Uniceplac,Setor Leste - Gama,72460-000,Brasília,DF,"-16.0024895,-48.0511956",False
80379,Rua Visconde de Ouro Preto,92,,Centro,39480-000,Januária,MG,"-15.4922549,-44.3607207",False
80380,Avenida da Paz,s/n,,Jaraguá,57022050,Maceió,AL,"-9.6697609,-35.7309651",False
80381,Pereira Filgueiras,4,,Centro,60160150,Fortaleza,CE,"-3.731505,-38.5032457",False
80382,Avenida Guilherme Maxwell,26,,Maré,21042-110,Rio de Janeiro,RJ,"-22.865203,-43.242344",False
80383,Sananduva,716,Praça Central,Centro,99840-000,Sananduva,RS,"-28.0555425,-51.8635429",False
80384,Avenida Tiradentes,6275,Parque de Exposições Governador Ney Braga,Jardim Rosicler,86072-000,Londrina,PR,"-23.2979547,-51.1973304",False
80385,Rua Coronel Fonte Boa,440,,Centro,38800-000,São Gotardo,MG,"-19.3089643,-46.047023",False
80386,Rua Rosa Franciosi Giordani,400,,Distrito Santa Lúcia do Piaí,95130-000,Caxias do Sul,RS,"-29.2423154014575,-51.0208940505981",False
80387,Marechal Floriano Peixoto,825,,Centro,58400165,Campina Grande,PB,"-7.2182463,-35.8817697",False
80388,Avenida Câmara Cascudo,377,,Cidade Alta,59025-280,Natal,RN,"-5.7817494,-35.2061959",False
80389,Praça da Misericórdia,30,,Cidade Alta,45810-000,Porto Seguro,BA,"-16.443941,-39.06462",False
80390,BA 262 km 2,s/n,,Zabelê,45079-005,Vitória da Conquista,BA,"-14.8511123,-40.84847329999999",False
80391,Rua Santa Clara,1,,Campina Grande,58400-170,Campina Grande,PB,"-7.2227145,-35.8897482",False
80392,Rua Halfeld,1179,,Centro,36016-000,Juiz de Fora,MG,"-21.762107,-43.352492",False
80393,Rua Osvaldo Cruz,727,,Centro,99910-000,Três de Maio,RS,"-27.780517,-54.23624",False
80394,Praça João XXIII,04,,Centro,39860-000,Nanuque,MG,"-17.8401516526757,-40.3507769107819",False
80395,Fazenda Cachoeira,s/n,,Zona Rural,38160-000,Nova Ponte,MG,"-20.95,-45.15",False
80396,Avenida Quinze,395,,Centro,14790-000,Guaíra (São Paulo),SP,"-20.322194,-48.310923",False
80397,Avenida João Gualberto,250,,Alto da Glória,80030-000,Curitiba,PR,"-25.422817,-49.266737",False
80398,Avenida Dona Cota,s/n,,Centro,35680-033,Itaúna,MG,"-20.082276,-44.580538",False
80399,SGAN 913 Conjunto F,s/n,Edifício Sede,Asa Norte,70790-136,Brasília,DF,"-15.7496012,-47.8998327",False
80400,Lauro Müller,s/n,Sede na Antiga Estação Ferroviária,Bela Vista,88880-000,Lauro Müller,SC,"-28.2172897559571,-50.6414794921875",False
80401,Rua Melvin Jones,s/n,Próximo a maternidade,Centro,79730-000,Glória de Dourados,MS,"-22.4251333,-54.2320038",False
80402,SCES Trecho 3,Trecho 3,Conjunto 6,Asa Sul,70200-003,Brasília,DF,"-15.8115582944574,-47.8535914421082",False
80403,Rua Major Pacheco,305,,Centro,13790-000,São Sebastião da Grama,SP,"-21.704589,-46.821202",False
80404,Avenida Doutor Alcindo Bezerra de Menezes,13,,Centro,58500-000,Monteiro,PB,"-7.884036,-37.11876",False
80405,Rua 14 de Julho,150,Reitoria,Coqueiros,88075-010,Florianópolis,SC,"-27.5967241,-48.5705596",False
80406,Rua Viscondessa de Castro Lima,10,,Centro,12600-140,Lorena,SP,"-22.7331628,-45.1261253",False
80407,Rua Antônio Lavigne de Lemos,76,,Centro,45653-330,Ilhéus,BA,"-14.7975373,-39.0327218",False
80408,Rua Três de Outubro,800,,Centro,98801-610,Santo Ângelo,RS,"-28.300701360178575,-54.25791263580322",False
80409,"Sá e Albuquerque,",275,,Jaraguá,57022180,Maceió,AL,"-9.6726757,-35.7221895",False
80410,Linha Santo Isidro,s/n,,Vale dos Vinhedos,95718-000,Monte Belo do Sul,RS,"-29.1599661,-51.5968371",False
80411,Avenida Coronel Carlos Pioli,53,,Centro,83540-000,Rio Branco do Sul,PR,"-25.1927476979212,-49.3131926748902",False
80412,Rua Padre Champagnat,s/n,Centro Histórico,Cidade Velha,66020310,Belém (Pará),PA,"-1.455028,-48.5041688",False
80413,"Praça Santos Dumont, Prédio 45",45,,Camobi - Cidade Universitaria,97105-900,Santa Maria (Rio Grande do Sul),RS,"-29.7200516,-53.7173005",False
80414,Avenida João Machado,348,,Centro,58013-520,João Pessoa,PB,"-7.126053,-34.882731",False
80415,Avenida João Alexandre de Oliveira,12,Museu,Centro,39207000,Três Marias,MG,"-18.2775285,-44.9829468",False
80416,Avenida XV de Novembro,1150,Centro de Eventos de Tapera - 2º Piso,Centro,99490-000,Tapera,RS,"-28.6299538,-52.8680652",False
80417,Rua Hercílio Luz,681,,Centro,88301-001,Itajaí,SC,"-26.906228,-48.659541",False
80418,Rua Macapá,187,,Sumaré,01251-080,São Paulo,SP,"-23.5469286,-46.6739024",False
80419,Rua Visconde de Pelotas,586,,Centro,95020-180,Caxias do Sul,RS,"-29.1634,-51.179675",False
80420,Rua Guira Acangatara,70,Parque Ecológico do Tietê,Engenheiro Goulart,03719-000,São Paulo,SP,"-23.4948097,-46.5257165",False
80421,Rua Forte de São Diogo,48,Forte de São Diogo,Barra,40130-170,Salvador,BA,"-13.0019025003056,-38.5326415300369",False
80422,"Oscar Barcelos, s/n",s/n,,Centro,89160-027,Rio do Sul,SC,"-27.215196256034,-49.6408397199684",False
80423,Avenida Ponte Café Filho,1228,,Praia do Meio,59010-100,Natal,RN,"-5.783416,-35.191506",False
80424,Avenida dos Portugueses,1966,Campus Dom Delgado,Vila Bacanga,65085-580,São Luís,MA,"-2.55781644977957,-44.3100714683533",False
80425,Rua Vargem do Cedro,140,,Sumaré,01252-050,São Paulo,SP,"-23.542216,-46.680536",False
80426,Ailton da Costa,s/n,s/n,Jardim vinte e cinco de Agosto,25071160,Duque de Caxias,RJ,"-22.7891854,-43.3074739",False
80427,Rua Sorocaba,200,,Botafogo,22271-110,Rio de Janeiro,RJ,"-22.951854,-43.190438",False
80428,Avenida Dário Lourenço de Souza,790,,Mario Cypreste,29026-080,Vitória,ES,"-20.3166213,-40.3581635",False
80429,Rua Juiz Aquiles Veloso,470,,Estoril,30494-180,Belo Horizonte,MG,"-19.9616348,-43.960916",False
80430,Avenida das Nações Via L4 Sul,s/n,,Asa Sul,70610-100,Brasília,DF,"-15.842704,-47.9163858",False
80431,Praça Coronel Pacheco de Medeiros,236,,Centro,36880-000,Muriaé,MG,"-21.1308312,-42.3666631",False
80432,Avenida Visconde do Rio Branco,159,Colégio Allan Kardec,Centro,38190-000,Sacramento,MG,"-19.8659228413243,-47.44290769100189",False
80433,Praça Manoel Antônio Dias,s/n,,Centro,14680-000,Jardinópolis (São Paulo),SP,"-21.018087,-47.761038",False
80434,Avenida José Luis da Fonseca,1295,Vila Lidia Iguape/Savóia,Iguape,45653-786,Ilhéus,BA,"-14.8010628,-39.0324347",False
80435,Rodovia SC 301,s/n,Esquina com a Rodovia dos Móveis - Trevo do Mato Preto,Oxford,89285-480,São Bento do Sul,SC,"-26.2234632,-49.410262",False
80436,Avenida Feijó,804,,Centro,14801-140,Araraquara,SP,"-21.7916651,-48.1793475",False
80437,Rua Luiza Bocchese,34,,Centro,95250-000,Antônio Prado,RS,"-28.857754481408616,-51.2837290763855",False
80438,Rua João Batista Ataíde,s/n,,Vila Maria,27313-505,Barra Mansa,RJ,"-22.5139493,-44.19809839999999",False
80439,Rua Conselheiro Franco,66,,Centro,44002-128,Feira de Santana,BA,"-12.258995,-38.967836",False
80440,Rua João Assink,38,,Centro,88538-000,Bocaina do Sul,SC,"-27.7767569,-49.8956943",False
80441,Rodovia BR 230 - km 22,s/n,Campus da UNIPÊ,Água Fria,58053-000,João Pessoa,PB,"-7.153982,-34.907968",False
80442,"Rua Desembargador Leão Neto Setor 3, Quadra 3",s/n,,Parque dos Poderes,79031-902,Campo Grande (Mato Grosso do Sul),MS,"-20.4604431,-54.6067537",False
80443,Rua Alberto Craveiro,2222,CEU (condomínio espiritual uirapuru),Boa Vista,60861-212,Fortaleza,CE,"-3.7846819,-38.516808",False
80444,Rua Homero,501,,Centro,34945-000,Montalvânia,MG,"-14.4239784,-44.3681826",False
80445,Rua Conselheiro Afonso Pena,116,,Centro,35960-000,Santa Bárbara (Minas Gerais),MG,"-19.9611462,-43.4171824",False
80446,MG 456,s/n,Junto à entrada do Parque Estadual Nova Baden,Nova Baden,37480-000,Lambari,MG,"-21.9678712,-45.3484727",False
80448,Universidade do Estado de Minas Gerais Unidade Carangola. Praça dos Estudantes,23,"Sala 26, terceiro andar, prédio anexo",Santa Luzia,36800-000,Carangola,MG,"-20.7314751,-42.0299263",False
80449,QNN 40 Conjunto J,3,,Ceilândia Sul,72220-410,Brasília,DF,"-15.8429787287771,-48.1073069572449",False
80450,Rua Ivaí,727,Apartamento 22,Santa Maria,09560-570,São Caetano do Sul,SP,"-23.6386004,-46.5536161",False
80451,Via Férrea,259,,Mondubim,60130-550,Fortaleza,CE,"-3.724842,-38.57091300000002",False
80452,Praça Cleves de Faria,74,,Centro,35960-000,Santa Bárbara (Minas Gerais),MG,"-19.9598968048676,-43.4177112579346",False
80453,Rua Doutor Manuel Dantas,43,,Não Informado,58735-000,Teixeira,PB,"-7.2213638,-37.2537072",False
80454,Alfredo Bueno,1206,,Centro,13820-000,Jaguariúna,SP,"-22.7054319,-46.9850813",False
80455,Rua Cerro Corá,550,,Alto da Lapa,05061-100,São Paulo,SP,"-23.540592,-46.7025733",False
80456,Avenida João Pedro Cardoso,574,,Jardim Aeroporto - Jabaquara - Campo Belo,04355-001,São Paulo,SP,"-23.6376941,-46.6582244",False
80457,Avenida Getúlio Vargas,344,,Centro,58400-052,Campina Grande,PB,"-7.2185428,-35.8881591",False
80458,Rua das Marrecas,35,,Centro,20031-040,Rio de Janeiro,RJ,"-22.9122285,-43.17816110000001",False
80459,Estrada do Chá,5,,Cocuera,08780-680,Mogi das Cruzes,SP,"-23.5641452,-46.138601600000015",False
80460,Rua da Estação,49,Antiga Estação Ferroviária,Estação,11750-000,Peruíbe,SP,"-24.3191308,-47.0076681",False
80461,Avenida Rio Branco,124,22º andar,Centro,20148-900,Rio de Janeiro,RJ,"-22.9049076,-43.1779641",False
80462,Rua João Fracaroli,s/n,,Bom Retiro,11089-230,Santos,SP,"-23.93552,-46.36958",False
80463,Rua Andrade Neves,2202,,Centro,96010-280,Pelotas,RS,"-31.7645393,-52.340450799999985",False
80464,Sítio Fernandes,s/n,s/c,Zona Rural,62762-000,Aratuba,CE,"-4.4126755,-39.0474659",False
80465,Avenida Mato Grosso,s/n,,Parque das Nações Indígenas,79031-001,Campo Grande (Mato Grosso do Sul),MS,"-20.4697105,-54.6201211",False
80466,"Estrada da Graciosa, PR 140",s/n,,Não Informado,83350-000,Morretes,PR,"-25.4358338005556,-48.834228515625",False
80467,Praça dos Tribunais Superiores - Bloco C,s/n,,Asa Sul,70096-900,Brasília,DF,"-15.798832,-47.880044",False
80468,Praia de Sepetiba,s/n,,Sepetiba,23535-097,Rio de Janeiro,RJ,"-22.9833514,-43.701406",False
80469,Avenida Francisco Vieira Cavalcante,s/n,Posto 2,São Francisco,63630-000,Pedra Branca (Ceará),CE,"-5.4545752,-39.7177495",False
80470,Avenida Presidente Tuany Toledo,470,,Fátima,37550-000,Pouso Alegre,MG,"-22.227075,-45.939378",False
80471,Avenida João Antonio,381,,Centro,96900-000,Sobradinho (Rio Grande do Sul),RS,"-29.4158872,-53.0282651",False
80472,Rua Primeiro de Janeiro,80,,Centro,35516-000,São Gonçalo do Pará,MG,"-19.98265,-44.859738",False
80473,Avenida Luiz Carlos Prestes,130,1º andar,Barra da Tijuca,22775-055,Rio de Janeiro,RJ,"-22.9955034,-43.3642281",False
80474,BR 101 km km 137,s/n,Zoológico,Nova Esperança,88332-510,Balneário Camboriú,SC,"-27.012719872938,-48.6127853393555",False
80475,Praça Coronel José de Araújo,135,,Centro,59164-000,Nísia Floresta,RN,"-6.093688,-35.1994459",False
80476,Praça Coronel José Martins,45,,Centro,37410-000,Três Corações,MG,"-21.6974346,-45.2560997",False
80477,Rua Rui Barbosa,481,,Centro,14840-000,Guariba,SP,"-21.3592534,-48.2285662",False
80478,Praça Geraldo Corrêa,s/n,,Centro,35550-000,Itapecerica,MG,"-20.4728956,-45.1240603",False
80479,Avenida João Pessoa,6600,,Parangaba,60435-682,Fortaleza,CE,"-3.767984,-38.560159",False
80480,www.museumaconicoparanaense.com,s/n,,Não Informado,82501-970,Curitiba,PR,"-25.4289541,-49.267137",False
80481,Rua Coronel Moreira da Silva,173,,Centro,23860-000,Mangaratiba,RJ,"-22.9621246,-44.0409644",False
80482,Rua Afonso Pena,1070,,Estreito,88070-650,Florianópolis,SC,"-27.591675,-48.586603",False
80483,Rua Otávio Rocha,115,1º andar,Centro,90020-151,Porto Alegre,RS,"-30.028638,-51.224687",False
80484,Avenida Rui Barbosa,14,,Assis,19800-001,Assis,SP,"-22.661871,-50.420567",False
80485,Rua Marquês de Sapucaí,s/n,Passarela do Samba Professor Darcy Ribeiro - Praça da Apoteose,Catumbi,20220-007,Rio de Janeiro,RJ,"-22.908338,-43.197642",False
80486,Rua Doutor Turi,2003,,Centro,97050-180,Santa Maria (Rio Grande do Sul),RS,"-29.69091,-53.802872",False
80487,Avenida Rio Branco,3633,,Centro Cívico,87501-130,Umuarama,PR,"-23.766104,-53.320617",False
80488,Rua da Anunciação,33,,Centro,97900-000,Cerro Largo,RS,"-28.153604,-54.740971",False
80489,Rua Claudino dos Santos,s/n,Setor Histórico,São Francisco,80020-170,Curitiba,PR,"-25.427594,-49.272227",False
80490,Praça Ramos de Azevedo,s/n,Baixos do Viaduto do Chá,Centro,01049-010,São Paulo,SP,"-23.5446912,-46.638621",False
80491,Rua Pascoal Meller,73,,Bairro Universitário,88805-380,Criciúma,SC,"-28.7005777,-49.4067826",False
80492,Sítio Amparo,s/n,,Município de Matureia,58000-000,Maturéia,PB,"-7.265133899999999,-37.34266969999999",False
80493,Avenida Prefeito José Lozano de Araújo,1551,,Pq. Brasil 500,13141-170,Paulínia,SP,"-22.7701509,-47.14663899999999",False
80494,Rua Sete de Setembro,557,,Centro,89400-000,Porto União,SC,"-26.2358233,-51.0815427",False
80495,Rua Lourenço Dias Batista,995,,Santa Rita,88503-065,Lages,SC,"-27.8300818,-50.33109179999997",False
80496,Rua Monsenhor Flaviano,2,,Politeama,40150-060,Salvador,BA,"-12.972226,-38.501426",False
80497,Estrada da Margem de Ferro,336,,Centro,86300-000,Cornélio Procópio,PR,"-23.183387,-50.650255",False
80498,SAFS Quadra 6 lote 1 - Edifício dos Plenários,s/n,2º andar,Asa Sul,70095-900,Brasília,DF,"-15.809003,-47.866284",False
80499,Rua Guarani,859,,Itaguá,11680-000,Ubatuba,SP,"-23.446376,-45.068331",False
80500,Rua José Pinto de Barros,90,,Centro,57602-010,Palmeira dos Índios,AL,"-9.415943,-36.627885",False
80501,Primeira Avenida,130,,Centro Administrativo da Bahia,41745-001,Salvador,BA,"-12.972226,-38.501426",False
80502,"SAS, Quadra 05",s/n,Lote 03 - Bl. J – 4º e 5º andares,Asa Sul,70070-000,Brasília,DF,"-15.8002545,-48.0166405",False
80503,Avenida Getúlio Vargas,763,Esquina com Floriano Peixoto,Centro,36013-011,Juiz de Fora,MG,"-21.7585375,-43.3486583",False
80504,Rua Firmo Dutra,2471,Estação Ferroviária,Centro,79380-000,Miranda,MS,"-20.241636,-56.379946",False
80505,Rua Major Diogo,s/n,,Centro,85530-000,Clevelândia,PR,"-26.413529,-52.367296",False
80506,Rua Paes Leme,1280,,Centro,16901-010,Andradina,SP,"-20.899548,-51.381499",False
80507,Igreja do Rosário - Rua Pereira Pinto,s/n,,Centro,29016-260,Vitória,ES,"-20.318749,-40.334621",False
80508,Rua Santa Luzia,206,,Centro,20020-022,Rio de Janeiro,RJ,"-22.908393,-43.171295",False
80509,Avenida Pedro Álvares Cabral,s/n,Parque do Ibirapuera. Pavilhão Engenheiro Armando Arruda Pereira,Ibirapuera,04094-000,São Paulo,SP,"-23.582747,-46.657018",False
80510,Avenida Edgard Santos,s/n,Térreo,Narandiba,41211-005,Salvador,BA,"-12.956856,-38.442335",False
80511,Rua Pernambuco,s/n,Final Oeste,Centro,85760-000,Capanema (Paraná),PR,"-25.665822,-53.806761",False
80512,Rua Evaldo Benevides,135,,Marechal Rondon,78932-000,Ariquemes,RO,"-9.906102,-63.033047",False
80513,Avenida das Hortênsias,4100,,Centro,95670-000,Gramado,RS,"-29.3803546,-50.8738745",False
80514,Rua São Francisco,319,,Centro,80020-190,Curitiba,PR,"-25.427725,-49.271647",False
80515,Rua do Hospício,130,,Boa Vista,50060-080,Recife,PE,"-8.060981,-34.884379",False
80516,Rua do Horto,931,,Horto Florestal,02377-000,São Paulo,SP,"-23.459019,-46.63349",False
80517,"Praça Governador Valadares, s/n",s/n,,Centro,36770-000,Cataguases,MG,"-21.3863936,-42.6927679",False
80518,Rua Edivaldo Labatut,s/n,,Não Informado,87130-000,Ivatuba,PR,"-23.6191973,-52.2207636",False
80519,"Rodovia GO-070, km 98",s/n,,Não Informado,76630-000,Itaberaí,GO,"-16.0271218,-49.8014563",False
80520,"Rodovia BR 476, km 67",s/n,,Zona Rural,83480-000,Tunas do Paraná,PR,"-24.973572,-49.088368",False
80521,Rua Conde de Araruama,248,,Centro,27943-640,Macaé,RJ,"-22.377304,-41.785236",False
80522,Rua dos Coropé,88,,Pinheiros,05426-010,São Paulo,SP,"-23.5614712,-46.6946911",False
80524,Avenida Joaquim Patrício,594,,Pium (Distrito Litoral),59160-530,Parnamirim (Rio Grande do Norte),RN,"-5.911552,-35.271323",False
