ID,Logradouro,Número,Complemento,Bairro,CEP,Município,UF,Localização,Geolocalização manual
80703,Rua Noel Rosa,418,,Bigorrilho,80710-140,Curitiba,PR,"-25.4277202,-49.30405129999997",False
80704,Rua Duque de Caxias,s/n,,Centro,89850-000,Quilombo,SC,"-26.72757,-52.720385",False
80705,"Avenida 02,",151,,Centro,14620-000,Orlândia,SP,"-20.723645,-47.882699",False
80706,Rua Major Tofani,s/n,,Centro,26650-000,Engenheiro Paulo de Frontin,RJ,"-22.552231,-43.677952",False
80707,Praça José Alves Câmara,76,,Centro,59530-000,Pedro Avelino,RN,"-5.516491,-36.386985",False
80708,Avenida da Abolição,3,,Não Informado,62790-000,Redenção (Ceará),CE,"-4.224227,-38.7281",False
80709,Travessa Mário Lobão,s/n,,Centro,69980-000,Cruzeiro do Sul (Acre),AC,"-7.628651,-72.674072",False
80710,Sítio Passagem das Pedras - Rodovia PB 391,s/n,,Não Informado,58000-820,Sousa,PB,"-6.72453512410159,-38.2608318328857",False
80711,Avenida Getulio Vargas,276,,Vl. Guarani,09310-180,Mauá,SP,"-23.666189,-46.452552",False
80712,Praça Mascarenhas de Moraes,s/n,Universidade Paranaense - UNIPAR - Campus Sede Umuarama,Não Informado,87502-210,Umuarama,PR,"-23.7570396,-53.3015052",False
80713,Rua Doutor Bento Costa Junior,70,,Centro,28893-050,Rio das Ostras,RJ,"-22.52835,-41.940333",False
80714,Avenida Joaquim Ferreira Gomes,s/n,,Vila do Porto,53990-000,Fernando de Noronha,PE,"-3.834735,-32.398962",False
80715,Avenida Arcanjo Gabriel,18,,Não Informado,88720-000,Pedras Grandes,SC,"-28.4355159,-49.190354",False
80716,Rua Manoel Moreira Penna,s/n,,Centro,85875-000,Santa Terezinha de Itaipu,PR,"-25.437765,-54.405931",False
80717,Rua Souza Lima,s/n,,Souza Lima,78150-000,Várzea Grande (Mato Grosso),MT,"-15.646245,-56.132719",False
80718,"Avenida Camaçari, s/n",s/n,,Colônia Pindorama,57320-000,Coruripe,AL,"-10.12806,-36.172058",False
80719,Avenida Ayrton Senna,s/n,Pátio da Estação Ferroviária,Centro,25850-000,Paraíba do Sul,RJ,"-22.531527,-43.214781",False
80720,Avenida Getúlio Vargas,23,,Centro,98130-000,Júlio de Castilhos,RS,"-29.230341,-53.677702",False
80721,Rua Padre Miguel Coelho,43,,Centro,63290-000,Jardim (Ceará),CE,"-7.576395,-39.282979",False
80722,Rua Deputado Odon Bezerra,184,,Tambiá,58020-500,João Pessoa,PB,"-7.11554,-34.877237",False
80723,Rua do Divino,40,,Centro,36520-000,Visconde do Rio Branco,MG,"-21.013212,-42.836542",False
80724,Rua Maria Leopoldina,2250,,Vila Itapuã,94750-000,Viamão,RS,"-30.283032,-51.016282",False
80725,Rua Dalmácio Espindula,115,Próximo ao Salão da Melhor Idade,Centro,29645-000,Santa Maria de Jetibá,ES,"-20.0318098,-40.7428462",False
80726,Rua Paulino Faria,s/n,,Mantiqueira,37514-000,Delfim Moreira,MG,"-22.5043303701566,-45.2757954597473",False
80727,Avenida Lauro machado,253,,Centro,39660-000,Turmalina (Minas Gerais),MG,"-17.283292,-42.728879",False
80728,Avenida Otacílio Negrão de Lima,8000,,Pampulha,31365-450,Belo Horizonte,MG,"-19.8547913,-44.0049941",False
80729,Avenida Pedro Álvares Cabral,s/n,Portão 10,Parque Ibirapuera,04094-000,São Paulo,SP,"-23.58431,-46.661285",False
80730,Rua Dona Glória Pagnoncelli,344,,Jardim Rosa de França,07081-120,Guarulhos,SP,"-23.443330090079,-46.5508103370667",False
80731,Rua Albino Raschendorfer,s/n,Acesso pela Rua Jacarezinho,Vista Alegre,80810-180,Curitiba,PR,"-25.412159,-49.285089",False
80732,Rua General Osório,127,,Centro,96225-000,São José do Norte,RS,"-32.013914,-52.043096",False
80733,Praça Nossa Senhora da Luz,10,,Centro,58200-000,Guarabira,PB,"-6.8543621,-35.489619",False
80734,Rua Frei Vicente,24,,Pelourinho,40030-125,Salvador,BA,"-12.979779,-38.488493",False
80735,Rua Joel Reis,143,,Centro,28180-000,Cardoso Moreira,RJ,"-21.4904845464218,-41.6158407926559",False
80736,Praça da Matriz,238,,Centro,46500-000,Macaúbas,BA,"-13.026653,-42.695884",False
80737,Praça Santos Dumont,161,,Centro,86181-320,Cambé,PR,"-23.277049,-51.280322",False
80738,ICC Central,s/n,Campus Universitário Darcy Ribeiro,Asa Norte,70910-900,Brasília,DF,"-15.7633136859702,-47.8696954250336",False
80739,Praça Ruy Brabosa,140,,Centro,46850-000,Boa Vista do Tupim,BA,"-12.650215,-40.606752",False
80740,"Praça Prefeito Antônio Muniz, 10",10,,Centro,46810-000,Utinga,BA,"-12.0827049926991,-41.0943067073822",False
80741,Praça Fausto Cardoso,40,Próximo à Prefeitura,Centro,49500-000,Itabaiana (Sergipe),SE,"-10.68537399939189,-37.426074743270874",False
80742,Praça Getúlio Vargas,s/n,Prédio da Secretaria Municipal de Cultura,Centro,65800-000,Balsas,MA,"-7.532458200000001,-46.0360161",False
80743,Afonso Cláudio,s/n,,Zona Rural,29600-000,Afonso Cláudio,ES,"-20.0622199492027,-41.0548782348633",False
