ID,Título,Esfera,Status de Funcionamento,Tipo,Temática,Estado,Município,Site Oficial,Link no MuseusBR
82023,Museu Honório Veloso de Linhares,PÚBLICA – Municipal,Aberto,- NÃO INFORMADO -,- NÃO INFORMADO -,RS,Nonoai,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=82023
82024,Museu Histórico de Povoação Mestre Vicente Sabino,PRIVADA – Fundação,Aberto,Clássico/Tradicional,História,ES,Linhares,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=82024
82025,Museu Histórico Pastor Rudolf Brauer,PÚBLICA – Municipal,Aberto,Clássico/Tradicional,História,RS,Agudo,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=82025
82027,Noph - Núcleo de Orientação e Pesquisa Histórica de Santa Cruz,PRIVADA – Associação,Aberto,Museu de Território/Ecomuseu,História,RJ,Rio de Janeiro,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=82027
82028,Museu da Infância - Universidade do Extremo Sul Catarinense - UNESC,PRIVADA – Fundação,Aberto,Clássico/Tradicional,"Educação, esporte e lazer",SC,Criciúma,https://www.unesc.net/portal/museu-da-infancia,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=82028
82030,Museu Taxidérmico/Centro de Ciências Interativas - Casa de São José,PRIVADA – Não informada,Aberto,- NÃO INFORMADO -,- NÃO INFORMADO -,PI,Teresina,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=82030
82032,Parque Massairo Okamura,PÚBLICA – Estadual/Distrital,Aberto,- NÃO INFORMADO -,- NÃO INFORMADO -,MT,Cuiabá,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=82032
82033,Casa de José de Alencar e Museu Arthur Ramos - Universidade Federal do Ceará,PÚBLICA – Federal,Aberto,Clássico/Tradicional,Antropologia e arqueologia,CE,Fortaleza,https://casajosedealencar.ufc.br/pt/,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=82033
82034,Memorial Clodomir Silva/biblioteca Pública Municipal,PÚBLICA – Municipal,Aberto,- NÃO INFORMADO -,- NÃO INFORMADO -,SE,Aracaju,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=82034
82035,Centro de Memória Lourival Batista,PRIVADA – Não informada,Aberto,- NÃO INFORMADO -,- NÃO INFORMADO -,SE,Aracaju,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=82035
82036,Museu Afro-digital da Memória Africana e Afro-brasileira da Universidade Federal da Bahia,PÚBLICA – Federal,Aberto,Virtual,História,BA,Salvador,http://www.museuafrodigital.ufba.br,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=82036
